candidate_id,source_record_number,source_filename,case_number,text_sha256,related_record_ids,reason,disposition
telegram-linked-precedent-ad99d6f40844549d7933a01f,210,7.pdf,33656979,d4987a356ff3b2383bc70ea8b6fd76491421d50b5621f54033a6c0ff7b52f2b9,collector-1434-v7-p131-332031116;moj-1434-v7-p131-332031116,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-185e75ea56683b0c3b82abfa,212,7.pdf,33689238,f5d638b001852e07fe17d3e7fb5a592c1e2dece1405a6d3d6f69481c284d0565,collector-1434-v7-p171-3435968;moj-1434-v7-p171-3435968,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-c7b2815c75d0bc1936c54bb6,213,7.pdf,33689238,6aff08c5a1b562774839ebf2d6ecb9563e49151482e6e78fd4320e8773c44822,collector-1434-v7-p171-3435968;moj-1434-v7-p171-3435968;telegram-linked-precedent-185e75ea56683b0c3b82abfa,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-58db01152764cd8967038415,214,7.pdf,33710584,f9a7a17c00787d09d0cc93d6edbd2f12459727899e272da60f35d62155e3cc72,collector-1434-v7-p184-34271615;moj-1434-v7-p184-34271615,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-42240bb876f34c5b326e8d18,216,7.pdf,34110084,ade910e22b8dbc2f8810063856fffb20ac1100c6195b6bcf7d72cca4ef91d612,collector-1434-v7-p198-34182875;moj-1434-v7-p198-34182875,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-8844489a59249a3fef418073,225,7.pdf,33641157,2b35da6342aa957c4c45bd48942a0383e1885887ae9bc6fdd081122fdb2ec2b9,collector-1434-v7-p243-34184071;moj-1434-v7-p243-34184071,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-50433d62bbf05c336bb734a3,231,7.pdf,34268795,5156bfb750e6af079f1035a50f5c988f7be14ec9827fd780571d002de611d50f,collector-1434-v7-p301-34303751;moj-1434-v7-p301-34303751,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-0e261a7e9fb1deaf163e3c44,233,7.pdf,33550457,648e181d7029d2929857dc0275009f77da03844d27797ed9e30737204e86271c,collector-1434-v7-p313-34285050;moj-1434-v7-p313-34285050,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-47ed8560b17c49264bdcb003,235,7.pdf,33599008,cac7523c751b6e557cb6916d7faeb2eab577ccb172a67ceb1adbd41c4f96d3d2,collector-1434-v7-p324-34304769;moj-1434-v7-p324-34304769,same_case_reference_distinct_or_unconfirmed_text,manual_review
telegram-linked-precedent-ac6b858fda209b9091374729,237,7.pdf,34371709,780a530de2376a9a2f115ef196b09b38414d5abd302c1debd52d8922e979c61b,collector-1434-v7-p344-34340276;moj-1434-v7-p344-34340276,same_case_reference_distinct_or_unconfirmed_text,manual_review
