candidate_id,source_record_number,source_filename,text_sha256,related_record_ids,match_method,disposition
telegram-linked-precedent-e1fc1c4b772338f3fba5deee,128,المدونة 20.pdf,0f97d9e317f4477a2d815ed6ee92f2ec760e046639baf5afd9ca0de85a741317,telegram-linked-precedent-00fe8016b6c9d6fd8e955ed5,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-c7f5ccc1dd12c0578386414e,129,المدونة 20.pdf,a45d45ca96bc62003004b1c612e95bd032ef2c49b8b5ecabf4e432484204f6d4,telegram-linked-precedent-a2062aa8915ac54ba7dc516d,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-bebd12b8efa3ecbfe94142ab,164,19.pdf,a91592960e8c79533ec9af48f6aa4982d018a234ec7f7917a4169c90bd749743,telegram-linked-precedent-af4bf55eeb416b207649045d,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-be86806b0e994c9fbafcac01,165,19.pdf,70f6aecea04f9f7cc269c6d843663917875d1dda3bea79df4c9523ae5017524a,telegram-linked-precedent-8fa0b2f1c17952a6deb1ff04,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-9944a1b2dae7dbaed27c5a11,166,19.pdf,a4db2f9bdd355b429e27879477b5a41e66dee950a83b0bc438b3df7faabe17ea,telegram-linked-precedent-e80730714def90628854fa3a,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-9581f59713fa6496535433a4,167,19.pdf,bb9f3aa53f3b15e38992d3f1ffa5fc10e58acd8e11fc5cbe9a51b1e7acf6aef2,telegram-linked-precedent-5b752aa832aebe5a57fb7681,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-de890119f37a38d57582a80a,168,19.pdf,f8c1bf21daeccc3bc59dd6b64bf12da8647e29cc5594004f03a4209cd7f7b70e,telegram-linked-precedent-5443ffd1e07df0b22db292ca,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-40260c6ae3ad8e2b8839a57d,169,19.pdf,ac20e5514e9a17bdbbb7aed94bbd742ebbde39fbe6dc892db08047ff61bc6b97,telegram-linked-precedent-af21bb9613a0435088211296,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-a5e04efda393f57b9495b8a8,170,19.pdf,5da953126a011a39f33a4deca781e29125ee9331c0e717ee7f56380409973623,telegram-linked-precedent-33bcbdb4ce4ab6cbfdb51285,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-c74ff6be1f0eaf94c354e12b,171,19.pdf,047fa3605382ab78ab1164b6e483d0ab277e6acbb5b0fdff57c9cee0781a1eb8,telegram-linked-precedent-424b5662d221cec5cc237d42,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-bcdab5ea18c369e674592901,172,19.pdf,6d23acc95d4e4e4ece3a684860f07377fcc5201652f84c2ee0c457566a3f2012,telegram-linked-precedent-4b12111568032f13529dcde1,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-b80e8d93c9350ea858048691,173,19.pdf,98d0a1fcd800b952b4394fd1b5546804f4c2a9e07a4b01e79e1797e4e2b591a1,telegram-linked-precedent-fe871a6937bdd372ef26c858,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-c1ab773aef370b96be9c8ad5,174,19.pdf,43f36bd720d61edbfd6d486132d8001b2fe5de17288d3c90336ba07b991ff8f4,telegram-linked-precedent-cae40252d6c4b03fae2dacbb,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-dc24a7c4572f11925707e32f,175,19.pdf,96cd269be7e1ce53d9e85cba7aea9e10ed5f9d303c3f6fd9295a5cdf125e82b9,telegram-linked-precedent-b71822d974870719a6a52bee,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-f6b3d06508a05d897353083b,176,19.pdf,6957709fb1f7d1cadb3ffaa1d197079e8818d91bdb6659084886522500c31699,telegram-linked-precedent-a55d2c2aea22dd6bcc438d99,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
telegram-linked-precedent-8c073e8316319b536f2f5a89,177,19.pdf,147cef5a0320608782e99f602a8a0d698880c5f7a19107380fb946bd88bf3741,telegram-linked-precedent-fcfc26ceff5c6e0553043da5,exact_normalized_text,retain_incoming_output_and_review_do_not_promote
