portal_id,source_page,circular_number,circular_date,subject,file,sha256,status,notes
37965,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=37965,,,,,,no_pdf_found,no downloadable PDF attachment detected
38006,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38006,,,,,,no_pdf_found,no downloadable PDF attachment detected
38020,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38020,,,,,,no_pdf_found,no downloadable PDF attachment detected
38023,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38023,,,,,,no_pdf_found,no downloadable PDF attachment detected
38050,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38050,,,,,,no_pdf_found,no downloadable PDF attachment detected
38059,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38059,,,,,,no_pdf_found,no downloadable PDF attachment detected
38070,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38070,,,,,,no_pdf_found,no downloadable PDF attachment detected
38072,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38072,,,,,,no_pdf_found,no downloadable PDF attachment detected
38076,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38076,,,,,,no_pdf_found,no downloadable PDF attachment detected
38096,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38096,,,,,,no_pdf_found,no downloadable PDF attachment detected
38101,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38101,,,,,,no_pdf_found,no downloadable PDF attachment detected
38110,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38110,,,,,,no_pdf_found,no downloadable PDF attachment detected
38113,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38113,,,,,,no_pdf_found,no downloadable PDF attachment detected
38124,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38124,,,,,,no_pdf_found,no downloadable PDF attachment detected
38132,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38132,,,,,,no_pdf_found,no downloadable PDF attachment detected
38133,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38133,,,,,,no_pdf_found,no downloadable PDF attachment detected
38164,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38164,,,,,,no_pdf_found,no downloadable PDF attachment detected
38177,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38177,,,,,,no_pdf_found,no downloadable PDF attachment detected
38203,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38203,,,,,,no_pdf_found,no downloadable PDF attachment detected
38218,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38218,,,,,,no_pdf_found,no downloadable PDF attachment detected
38229,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38229,,,,,,no_pdf_found,no downloadable PDF attachment detected
38236,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38236,,,,,,no_pdf_found,no downloadable PDF attachment detected
38241,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38241,,,,,,no_pdf_found,no downloadable PDF attachment detected
38252,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38252,,,,,,no_pdf_found,no downloadable PDF attachment detected
38253,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38253,,,,,,no_pdf_found,no downloadable PDF attachment detected
38266,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38266,,,,,,no_pdf_found,no downloadable PDF attachment detected
38315,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38315,,,,,,no_pdf_found,no downloadable PDF attachment detected
38342,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38342,,,,,,no_pdf_found,no downloadable PDF attachment detected
38377,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38377,,,,,,no_pdf_found,no downloadable PDF attachment detected
38399,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38399,,,,,,no_pdf_found,no downloadable PDF attachment detected
38401,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38401,,,,,,no_pdf_found,no downloadable PDF attachment detected
38518,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38518,,,,,,no_pdf_found,no downloadable PDF attachment detected
38535,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38535,,,,,,no_pdf_found,no downloadable PDF attachment detected
38559,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38559,,,,,,no_pdf_found,no downloadable PDF attachment detected
38568,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38568,,,,,,no_pdf_found,no downloadable PDF attachment detected
38605,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38605,,,,,,no_pdf_found,no downloadable PDF attachment detected
38726,https://portaleservices.moj.gov.sa/TameemPortal/TameemList.aspx?id=38726,,,,,,no_pdf_found,no downloadable PDF attachment detected
