registry,source_file,declared_sha256,declared_bytes,document_type,declared_status,reconciliation_status,physical_paths,physical_sha256
source-register,moj-judgments-1434-volume-12.pdf,7fbbefdb8b810d9daac796f824690c44b591184def9ac255751a20224fa7afc8,4104368,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-14.pdf,0faac966c633e1dad8ee3f8223fa401525eafdf75d2803e8d35e6c072becc830,4476366,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-15.pdf,3e70236bdf469ad1869f69fe165b936b4af1b67d6540fa32c467ff95360207e8,4853226,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-16.pdf,fbdf36deb24184bcd1453d4528d8e766d8800c753b8f21cfc3f22d9a916a242f,4673339,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-17.pdf,0fd12ae23184b837d4064d9481aed000ccba83493f30c15f7c271684d9768d3d,3563724,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-18.pdf,78873a7fe67123a392d1d8ed904a3d8a9a83abfe3e85f1b0d16961538d28f9da,3123094,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-19.pdf,3b89f883e82d7873ba50f322388b29458eafbeb7548b6b06d6e5f32ce06c196e,2478577,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-20.pdf,da777c85ad04c163536bc394d58196b0cd50748a8bfa960b0ac0ce725ed69659,2478112,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-21.pdf,e583fce1668437c0845f2ce9c364757a6d048a0c1681c6fb2ec4cf870f8ae57d,2449134,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-22.pdf,af23fd28ca115b52ffa13a98c2df44844943922b31cedde362a78702f8b9c133,3538771,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-23.pdf,442bb453ae6df7ee553646855b1610c79bd7b97d72b72cb641762bc7da3dfa23,4057284,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-24.pdf,9d0aa148f65f5c5468d29fb23ed346b56cdc0ad9e763d2404badbf750b51a03a,8366296,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-25.pdf,f4e975329bbf9e33d2851c84b1de5273b52b9dc1c4fc9eda6d08f93f0b25aa9b,4701062,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-26.pdf,b487906703f851e559d5d43a99eda6797f6b59d93f1b5d193e3f96e0bd45c27d,2868672,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-27.pdf,432edec85c03e7879aec9a85cb09a8882ff47ee73e3462d17845190c68475efe,4269148,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-28.pdf,427cfcd78c7d5368b2fbb4d9a63e685744daa9fd3ba2a58c586ded4a03e53de9,4354201,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-29.pdf,d6c1ce473472e7a4f15ed4d2f204476ac0269cf340f7e4e895864fd0a5957465,6816854,فهرس مدونة,مرجعي فقط,same_name_checksum_mismatch,archive-sources/moj/1434/moj-judgments-1434-volume-29.pdf,7eb12d57dc2b2a7bd3d9ea0bac795494cc1b9c7fc7cded4a8ba8344d873ade8c
source-register,moj-judgments-1434-volume-3.pdf,9c54034ce7d443535fdf40305b5ae8f64a1adb54cd89ff928d7040b006bb7fef,5898258,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-30.pdf,b61c94d5a3ac33d818c94a40b7744b666efee46d3cf62d31b87125745276724a,1622433,فهرس مدونة,مرجعي فقط,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-4.pdf,47d4c5054697335c8926799bd75ca40e51c5ddb31286a024defb7310e90e713e,4858612,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-6.pdf,d8164d23575435d9de8ae23e628410450521627312e060d519a1d069c0675e11,4364841,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-7.pdf,f5f2ad3c10d624ba478a766336b07bf999780bbca7c373f94c22b15ddcaea611,2681939,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-8.pdf,d868ebfe6fc973b4adfc66f247af5f505cca6891fa73560b410c21049cfdcd2b,3518655,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,moj-judgments-1434-volume-9.pdf,a509db3eac4c6e5043bd1e587775ecc12c01e281056b276cdd6bca3275c8a9c1,3696508,مدونة أحكام,مصدر قضايا وزارة العدل,declared_original_not_physically_present,,
source-register,nafa-judicial-library-1445.pdf,4a18af64080e904511edaa705b3beb8b47d9c83d77baaf2b4df8da337136c523,2963659,مرجع قانوني,بانتظار التصنيف التفصيلي,declared_original_not_physically_present,,
source-register,uncitral-arbitration-precedents-2024.pdf,c42fd20e730a04021815021e0c0df0646e318ef5f346c85d0c0acb17463ff002,642869,ملخصات أحكام دولية,6 سجلات مفصولة,declared_original_not_physically_present,,
source-register,saip-copyright-precedents-2019.pdf,a3a7f0680679198eaf58f7cc4a626aae60dd1d904dfbd2b4d3e2b846028088f2,2022788,مدونة سوابق قضائية,أصل تاريخي محفوظ من main؛ الفهرس الموروث و53 سجلاً تحتاج مطابقة المرجع والمحتوى قبل الاعتماد,stored_checksum_match,archive-sources/saip/2019/saip-copyright-precedents-2019.pdf,a3a7f0680679198eaf58f7cc4a626aae60dd1d904dfbd2b4d3e2b846028088f2
collector/pending-source-register,moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879,5322782,مدونة أحكام,تم الفصل؛ 34 سجلاً استوفى حقول فهرس البحث، والبقية في مراجعة مستقلة,stored_checksum_match,archive-sources/moj/1434/moj-judgments-1434-volume-1.pdf,736d47fcf34bb9a81ce8d0fe6927bd90ea599e987556432dbf4305ec5dd79879
collector/pending-source-register,moj-judgments-1434-volume-2.pdf,bc54bb17b24305dd02bdac024626902f2eabaf468633627239138acdf76f562c,2884693,مدونة أحكام,تم الفصل؛ 34 سجلاً استوفى حقول فهرس البحث، والبقية في مراجعة مستقلة,stored_checksum_match,archive-sources/moj/1434/moj-judgments-1434-volume-2.pdf,bc54bb17b24305dd02bdac024626902f2eabaf468633627239138acdf76f562c
collector/pending-source-register,moj-judgments-1434-volume-5.pdf,4a4134d95b2eb2bd58721fba4287e1940f0768fda51741fdb5eb9e445db4e7c6,3988656,مدونة أحكام,تم الفصل؛ 54 سجلاً استوفى حقول فهرس البحث، والبقية في مراجعة مستقلة,stored_checksum_match,archive-sources/moj/1434/moj-judgments-1434-volume-5.pdf,4a4134d95b2eb2bd58721fba4287e1940f0768fda51741fdb5eb9e445db4e7c6
collector/pending-source-register,moj-judgments-1434-volume-11.pdf,664f06d81539e5eab63ca5c678ac288114f094a0cc7f8b44c91d08c7d1a516f9,4662269,مدونة أحكام,تم الفصل؛ 36 سجلاً استوفى حقول فهرس البحث، والبقية في مراجعة مستقلة,stored_checksum_match,archive-sources/moj/1434/moj-judgments-1434-volume-11.pdf,664f06d81539e5eab63ca5c678ac288114f094a0cc7f8b44c91d08c7d1a516f9
collector/pending-source-register,moj-judgments-1434-volume-13.pdf,a225aedc196e92dcc16ae4a11bc0525e678a2a2ff7abebea2ee6b07f9c96371f,2894539,مدونة أحكام,تم الفصل؛ 33 سجلاً استوفى حقول فهرس البحث، والبقية في مراجعة مستقلة,stored_checksum_match,archive-sources/moj/1434/moj-judgments-1434-volume-13.pdf,a225aedc196e92dcc16ae4a11bc0525e678a2a2ff7abebea2ee6b07f9c96371f
collector/pending-source-register,moj-judgments-1434-volume-29.pdf,7eb12d57dc2b2a7bd3d9ea0bac795494cc1b9c7fc7cded4a8ba8344d873ade8c,29140843,فهرس مدونة,مرجعي فقط؛ ليس مصدراً لحكم مستقل,stored_checksum_match,archive-sources/moj/1434/moj-judgments-1434-volume-29.pdf,7eb12d57dc2b2a7bd3d9ea0bac795494cc1b9c7fc7cded4a8ba8344d873ade8c
collector/pending-source-register,moj-judgments-1435-volume-1.pdf,d44dfc501f1d75c8645ecf94e085a7bb0cf407f68a3ccbf7862f7dec115137bf,12957138,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-1.pdf,d44dfc501f1d75c8645ecf94e085a7bb0cf407f68a3ccbf7862f7dec115137bf
collector/pending-source-register,moj-judgments-1435-volume-2.pdf,f279f188cad83c6cab8d207be5c7536be794707999cbd4ec3a440b0c90c91e7a,8704396,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-2.pdf,f279f188cad83c6cab8d207be5c7536be794707999cbd4ec3a440b0c90c91e7a
collector/pending-source-register,moj-judgments-1435-volume-3.pdf,de9dbcbde6334c0b670ae71a4c435e78e1e3075183ab17823abdaf267122cf96,8054861,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-3.pdf,de9dbcbde6334c0b670ae71a4c435e78e1e3075183ab17823abdaf267122cf96
collector/pending-source-register,moj-judgments-1435-volume-4.pdf,973bbad83de5f7004d47e9bcb66aea7efc985ec12901968d73e3510cf36b93ee,8543591,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-4.pdf,973bbad83de5f7004d47e9bcb66aea7efc985ec12901968d73e3510cf36b93ee
collector/pending-source-register,moj-judgments-1435-volume-5.pdf,977bb12cf044997731c16dd70374482dee814b59a081e50ef11a8b0ce85b39b5,7446483,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-5.pdf,977bb12cf044997731c16dd70374482dee814b59a081e50ef11a8b0ce85b39b5
collector/pending-source-register,moj-judgments-1435-volume-6.pdf,a821a27d9080b61228e7258fe6c9f846dcc662bf02eae622f6f02b3ab9d0a0e4,7324563,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-6.pdf,a821a27d9080b61228e7258fe6c9f846dcc662bf02eae622f6f02b3ab9d0a0e4
collector/pending-source-register,moj-judgments-1435-volume-7.pdf,3adbce6afc6b1cb5f9a9ddc18f3c3431835f2bc3701d7da5aa2e295f1526046b,7479291,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-7.pdf,3adbce6afc6b1cb5f9a9ddc18f3c3431835f2bc3701d7da5aa2e295f1526046b
collector/pending-source-register,moj-judgments-1435-volume-8.pdf,097abb7cd92931ad27d9e0a902a3f45bee357aebcfa416f972240682ade500cb,8503998,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-8.pdf,097abb7cd92931ad27d9e0a902a3f45bee357aebcfa416f972240682ade500cb
collector/pending-source-register,moj-judgments-1435-volume-9.pdf,47558539b3e76bb677fc71e8e3748c597cbe9caf169d5eb4d82f91e84929d822,9115611,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-9.pdf,47558539b3e76bb677fc71e8e3748c597cbe9caf169d5eb4d82f91e84929d822
collector/pending-source-register,moj-judgments-1435-volume-10.pdf,7d6e7ede15d5b51adf7afab9d7547c85cc365670951cccab92bab1fc55013077,9576314,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-10.pdf,7d6e7ede15d5b51adf7afab9d7547c85cc365670951cccab92bab1fc55013077
collector/pending-source-register,moj-judgments-1435-volume-11.pdf,d278d4cdffc2b84137db2ca7ff26765bd0d3beb2650f52cd28edad89080bd3c4,10639850,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-11.pdf,d278d4cdffc2b84137db2ca7ff26765bd0d3beb2650f52cd28edad89080bd3c4
collector/pending-source-register,moj-judgments-1435-volume-12.pdf,1818d073ee2db499a73dbfa814ffd2d7ac809490a1a41e91cd01dd7b0b095edb,10451495,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-12.pdf,1818d073ee2db499a73dbfa814ffd2d7ac809490a1a41e91cd01dd7b0b095edb
collector/pending-source-register,moj-judgments-1435-volume-13.pdf,7ca16fb42e311f8a31c49df44df80cd019b4b243e8b20a4bae75fca334298c20,11072928,مدونة أحكام,تم الفصل إلى PDF؛ لا سجل قابل للبحث قبل استكمال الحقول الإلزامية,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-13.pdf,7ca16fb42e311f8a31c49df44df80cd019b4b243e8b20a4bae75fca334298c20
collector/pending-source-register,moj-judgments-1435-volume-14.pdf,e5c9cffa22c8c911fe74c432261bd0dac0ed03d7059df2ba29433079212540b8,5387663,فهرس مدونة,مرجعي فقط؛ ليس مصدراً لحكم مستقل,stored_checksum_match,archive-sources/moj/1435/moj-judgments-1435-volume-14.pdf,e5c9cffa22c8c911fe74c432261bd0dac0ed03d7059df2ba29433079212540b8
